alpha,beta,chain
-0.19940403,-0.056416504,chain_0
-0.19707194,-0.035576165,chain_0
-0.19592816,-0.033310093,chain_0
-0.17966868,-0.0394802,chain_0
-0.18585497,-0.03752526,chain_0
-0.18585497,-0.03752526,chain_0
-0.19620495,-0.032902643,chain_0
-0.18384574,-0.03910108,chain_0
-0.1790764,-0.04029997,chain_0
-0.1782271,-0.03229423,chain_0
-0.17646374,-0.039209656,chain_0
-0.18462142,-0.032934494,chain_0
-0.18525687,-0.036759906,chain_0
-0.19552273,-0.030988459,chain_0
-0.20397097,-0.039915405,chain_0
-0.18832727,-0.032779235,chain_0
-0.1971122,-0.038213573,chain_0
-0.19626768,-0.031347997,chain_0
-0.2041111,-0.032426223,chain_0
-0.1934412,-0.032348733,chain_0
-0.18824127,-0.033411052,chain_0
-0.19937396,-0.031631418,chain_0
-0.19632028,-0.03751576,chain_0
-0.20114636,-0.028002996,chain_0
-0.20069976,-0.04043652,chain_0
-0.21914127,-0.030840818,chain_0
-0.18091848,-0.036295503,chain_0
-0.20010823,-0.03828787,chain_0
-0.19302918,-0.030178018,chain_0
-0.20377667,-0.03504833,chain_0
-0.20550825,-0.031147264,chain_0
-0.17442533,-0.031870905,chain_0
-0.17442533,-0.031870905,chain_0
-0.17510307,-0.040045302,chain_0
-0.18109652,-0.037600793,chain_0
-0.18934126,-0.037173655,chain_0
-0.19131947,-0.035970185,chain_0
-0.19123879,-0.032802835,chain_0
-0.17870404,-0.05220687,chain_0
-0.21251222,-0.04475615,chain_0
-0.21195212,-0.04321581,chain_0
-0.20899712,-0.038445927,chain_0
-0.20068596,-0.03457591,chain_0
-0.18191479,-0.043477315,chain_0
-0.18221211,-0.042013265,chain_0
-0.1894338,-0.034351483,chain_0
-0.21147162,-0.031628203,chain_0
-0.21421157,-0.03120379,chain_0
-0.20080695,-0.03374259,chain_0
-0.18773659,-0.031372093,chain_0
-0.1705305,-0.057619378,chain_0
-0.16793278,-0.034983408,chain_0
-0.19622652,-0.03274769,chain_0
-0.18741645,-0.035234667,chain_0
-0.19430925,-0.043904617,chain_0
-0.19444297,-0.029518295,chain_0
-0.18657544,-0.038151927,chain_0
-0.1993593,-0.040129624,chain_0
-0.17634474,-0.040930606,chain_0
-0.1939335,-0.03287501,chain_0
-0.1820017,-0.040619686,chain_0
-0.18071286,-0.03684695,chain_0
-0.19619882,-0.037644777,chain_0
-0.19608235,-0.03596059,chain_0
-0.19249202,-0.0340608,chain_0
-0.17834443,-0.04136677,chain_0
-0.20263031,-0.030108344,chain_0
-0.20433395,-0.03647096,chain_0
-0.19275431,-0.031509776,chain_0
-0.18674694,-0.035377126,chain_0
-0.18083015,-0.033582497,chain_0
-0.19409971,-0.034100253,chain_0
-0.1806624,-0.03699614,chain_0
-0.17212377,-0.041684918,chain_0
-0.16825707,-0.040459875,chain_0
-0.17789538,-0.042471074,chain_0
-0.19516766,-0.030852422,chain_0
-0.19575164,-0.028352153,chain_0
-0.1839065,-0.037491508,chain_0
-0.1845705,-0.039669484,chain_0
-0.20500706,-0.030559415,chain_0
-0.21598546,-0.031651616,chain_0
-0.20929751,-0.031697173,chain_0
-0.19920357,-0.028777909,chain_0
-0.20960943,-0.043464545,chain_0
-0.19783576,-0.024806947,chain_0
-0.19783576,-0.024806947,chain_0
-0.20251866,-0.042561203,chain_0
-0.20562558,-0.04800141,chain_0
-0.2045811,-0.029536657,chain_0
-0.21158902,-0.03494437,chain_0
-0.2133433,-0.035402935,chain_0
-0.21608576,-0.0366984,chain_0
-0.21344483,-0.034032974,chain_0
-0.20510253,-0.041803215,chain_0
-0.21702255,-0.03589432,chain_0
-0.21966937,-0.03557882,chain_0
-0.19836752,-0.029244764,chain_0
-0.18512261,-0.028511502,chain_0
-0.1873863,-0.035995033,chain_0
-0.1879459,-0.036618017,chain_0
-0.1798464,-0.03672738,chain_0
-0.18449207,-0.03610719,chain_0
-0.19009249,-0.03636546,chain_0
-0.20105678,-0.033111725,chain_0
-0.19979118,-0.034713086,chain_0
-0.20179354,-0.04048395,chain_0
-0.18176411,-0.034428336,chain_0
-0.17914969,-0.04397495,chain_0
-0.1800462,-0.043614496,chain_0
-0.20041297,-0.03557702,chain_0
-0.20415975,-0.04239382,chain_0
-0.18535045,-0.048170805,chain_0
-0.20437811,-0.022858862,chain_0
-0.19079651,-0.042950705,chain_0
-0.18842353,-0.041793853,chain_0
-0.17431886,-0.04104925,chain_0
-0.20679457,-0.035852134,chain_0
-0.20119064,-0.033803623,chain_0
-0.17962411,-0.033242643,chain_0
-0.18845648,-0.042910144,chain_0
-0.18837827,-0.031534202,chain_0
-0.18804696,-0.038990438,chain_0
-0.19707958,-0.038754113,chain_0
-0.17263873,-0.02942821,chain_0
-0.17263873,-0.02942821,chain_0
-0.19808502,-0.040207606,chain_0
-0.20432101,-0.027130876,chain_0
-0.20709933,-0.042861216,chain_0
-0.19613795,-0.025838299,chain_0
-0.20433691,-0.043948688,chain_0
-0.20361596,-0.039372772,chain_0
-0.20873524,-0.04282848,chain_0
-0.19968057,-0.024875734,chain_0
-0.19706246,-0.045789182,chain_0
-0.18796636,-0.036503647,chain_0
-0.19261256,-0.033344325,chain_0
-0.19725953,-0.037910376,chain_0
-0.1900612,-0.031866983,chain_0
-0.19127016,-0.02877814,chain_0
-0.2036306,-0.032889627,chain_0
-0.1871748,-0.030118544,chain_0
-0.19011386,-0.027708057,chain_0
-0.1862047,-0.044716798,chain_0
-0.18555428,-0.045381773,chain_0
-0.19215102,-0.02563715,chain_0
-0.178389,-0.05104442,chain_0
-0.17836249,-0.033142403,chain_0
-0.176712,-0.027860388,chain_0
-0.17716007,-0.031557765,chain_0
-0.1778851,-0.046847984,chain_0
-0.17824161,-0.047225837,chain_0
-0.18596388,-0.03276846,chain_0
-0.18222177,-0.036180194,chain_0
