beta0,beta1,beta2,beta3,sigma,chain
18.71614,-0.09374528,3.6648269,-6.4204726,83.27427,chain_0
16.050137,14.835045,-13.366175,-2.1796389,87.956924,chain_0
17.946217,12.376676,-13.43537,-0.11578185,109.809616,chain_0
18.919666,13.508068,-11.334033,1.1364069,80.93596,chain_0
16.59371,17.912828,10.089385,-28.148098,144.24603,chain_0
19.256504,18.627048,12.065818,-26.584507,97.742355,chain_0
13.192489,13.06647,-4.694449,-12.436389,181.99982,chain_0
9.673943,15.833249,0.4332378,-14.760589,160.87634,chain_0
18.03891,12.706695,7.474901,-21.686144,104.817696,chain_0
19.325562,13.972247,9.77675,-23.365416,92.62766,chain_0
18.05942,16.835125,-3.65913,-11.572197,70.881516,chain_0
17.57713,2.609399,17.640884,-17.475729,146.49788,chain_0
18.815226,0.61924314,16.53476,-18.249044,118.59834,chain_0
18.90973,4.4513335,6.200869,-10.871157,106.10308,chain_0
18.834812,11.913677,-33.013355,19.179955,195.68317,chain_0
18.637627,19.090124,13.788576,-34.086815,142.94447,chain_0
16.750862,10.390934,21.247766,-36.43543,124.87294,chain_0
16.369564,-23.0182,17.740562,2.608468,97.68132,chain_0
16.127687,9.152637,15.150391,-27.850044,196.1025,chain_0
18.975262,12.956397,9.650362,-25.421732,77.1626,chain_0
17.625195,12.421818,-6.169503,-5.148692,125.50056,chain_0
17.939697,11.250746,-5.4541297,-6.9331675,140.02362,chain_0
16.85973,12.431612,-1.0154573,-11.747579,83.04401,chain_0
19.471703,-1.5302141,-4.2339487,5.485202,167.76183,chain_0
15.869139,9.359651,-4.5314775,-4.468013,66.95256,chain_0
17.213024,11.282813,19.42763,-28.717436,172.53638,chain_0
17.776356,0.64811087,25.56461,-29.162535,83.505295,chain_0
15.042983,5.180336,20.155972,-28.307028,116.78298,chain_0
20.663712,33.578148,-5.6853876,-23.436802,134.73615,chain_0
14.492886,34.596523,-19.23923,-14.239058,85.82547,chain_0
21.273697,-8.86034,-0.10336137,6.2725115,128.05159,chain_0
15.948736,-41.359207,47.231415,-9.805911,221.3107,chain_0
19.670359,0.32606173,11.0095215,-9.484668,169.10065,chain_0
18.239943,5.90591,11.346043,-17.80361,172.51096,chain_0
16.182507,7.4086833,9.730265,-17.073969,70.88378,chain_0
17.782982,12.981321,-2.0540926,-10.730834,161.3475,chain_0
20.236364,5.9358225,27.168499,-30.245956,182.65553,chain_0
13.744477,21.2231,17.420227,-35.681366,98.114006,chain_0
22.045986,11.88297,4.718931,-19.343576,182.94998,chain_0
17.8557,-6.5301714,14.355059,-10.413986,143.71753,chain_0
17.854292,14.5331545,-0.73730326,-11.811188,63.97413,chain_0
17.10247,16.523996,-16.891796,2.4917054,226.79424,chain_0
18.256653,18.00978,-17.060102,-2.0187345,169.26425,chain_0
17.227648,16.147161,-10.709223,-2.8840315,138.3626,chain_0
17.025213,2.8236175,-2.4410062,-2.5373898,98.463455,chain_0
18.446957,-0.027481973,12.424423,-11.801914,81.57514,chain_0
20.67855,-2.9935117,23.123732,-19.878044,161.73782,chain_0
20.663273,-2.849514,22.195368,-19.235296,139.2689,chain_0
20.618622,-3.377026,22.37728,-19.455135,132.11443,chain_0
21.043869,-2.535318,21.353445,-18.804619,139.74693,chain_0
17.261583,-9.173248,19.318422,-8.488757,100.177025,chain_0
15.1847,-3.3302164,14.447672,-10.13197,92.86391,chain_0
15.141565,-4.6737604,15.134852,-9.432176,112.694374,chain_0
20.256111,-6.2280445,20.333748,-11.205707,142.60774,chain_0
